section,chno,title,group,logo,url
AM RADIO STREAMS,10570,CKGL 570,RADIO - AM,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/CityNews_570_logo.jpg/150px-CityNews_570_logo.jpg,https://rogers-hls.leanstream.co/rogers/kit570.stream/playlist.m3u8
FM RADIO STREAMS,10883,CJIQ 88.3,RADIO - FM,https://media.socastsrm.com/uploads/station/1750/site_header_logo-5bb371659259e.png,https://conestoga.leanstream.co/CJIQFM
,10915,CKBT 91.5,RADIO - FM,https://915thebeat.com/wp-content/uploads/sites/2/2018/02/cropped-thebeat_512x512.png?w=180,http://live.leanstream.co/CKBTFM-MP3
,10933,CFRU 93.3,RADIO - FM,https://cfru.ca/favicon.ico,https://listen.cfru.ca/
,10967,CHYM 96.7,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/8/83/CHYM_96.7CHYM_logo.png,https://rogers-hls.leanstream.co/rogers/kit967.stream/playlist.m3u8
,10985,CKWR 98.5,RADIO - FM,https://media.socastsrm.com/uploads/station/1859/site_header_logo-5df3ffce8edd3.png,https://stream2.statsradio.com:8150/stream
,11067,CIKZ 106.7,RADIO - FM,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Country_106.7_FM_.png/150px-Country_106.7_FM_.png,https://rogers-hls.leanstream.co/rogers/kit1067.stream/playlist.m3u8
,11075,CJDV 107.5,RADIO - FM,https://1075daverocks.com/wp-content/uploads/sites/17/2018/02/cropped-dave_512x512.png?w=180,http://live.leanstream.co/CJDVFM-MP3
OTHER STREAMS,,CKMS-FM Radio Waterloo DI,RADIO,https://radiowaterloo.ca/wp-content/uploads/2017/05/cropped-ckmsLogoSquare-1-e1550119984139.png,https://radiowaterloo.ca/stream
,,"CBC Radio One - Kitchener-Waterloo, ON (MP3 stream)",RADIO,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/CBCRadioOne.svg/320px-CBCRadioOne.svg.png,https://26733.live.streamtheworld.com/CBLAFM2_CBC_SC
