section,chno,title,group,logo,url
AM RADIO STREAMS,10560,KSFO 560,RADIO - AM,http://www.ksfo.com/favicon.ico,http://playerservices.streamtheworld.com/api/livestream-redirect/KSFOAM_SC
,10680,KNBR 680,RADIO - AM,http://www.knbr.com/favicon.ico,http://17793.live.streamtheworld.com/KNBRAM_SC
FM RADIO STREAMS,10881,KKJZ 88.1,RADIO - FM,https://www.kkjz.org/favicon.ico,https://streaming.live365.com/a45189_2
,10891,KBBF 89.1,RADIO - FM,https://kbbf.org/favicon.ico,http://quarrel.str3am.com:7050/live
,10895,KPOO 89.5,RADIO - FM,http://www.kpoo.com/favicon.ico,http://amber.streamguys.com:5220/xstream
,10907,KALX 90.7,RADIO - FM,https://www.kalx.berkeley.edu/wp-content/uploads/2023/07/kalx-logo.png,https://stream.kalx.berkeley.edu:8443/kalx.flac
,10965,KOIT 96.5,RADIO - FM,https://cdn.bonneville.com/bonneville/wp-content/uploads/sites/7/2020/12/cropped-koit_square-2020-192x192.png,https://bonneville.cdnstream1.com/2624_48.aac
,10981,KISQ 98.1,RADIO - FM,"https://i.iheart.com/v3/re/assets.brands/5e0a3df06f30114a05e0279e?ops=new(),flood(%22white%22),swap(),merge(%22over%22),gravity(%22center%22),contain(167,167),quality(80),format(%22png%22)",http://stream.revma.ihrhls.com/zc285
,11017,KKIQ 101.7,RADIO - FM,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/KKIQ-FM.png/250px-KKIQ-FM.png,https://live.amperwave.net/direct/alphacorporate-kkiqfmmp3-ibc4
,11077,KSAN 107.7,RADIO - FM,https://www.1077thebone.com/favicon.ico,https://playerservices.streamtheworld.com/api/livestream-redirect/KSANFM.mp3
OTHER STREAMS,,KQED 128 AAC,RADIO,https://asset.brandfetch.io/idQPhN-lSw/idojwfAi5K.png,https://hls.kqed.org/hls/kqed_app/playlist.m3u8
,,4u Classic Rock,RADIO,https://cdn.onlineradiobox.com/img/l/4/15394.v1.png,https://str4uice.streamakaci.com/4uclassicrock.mp3
,,Classical California KDFC,RADIO,https://www.kdfc.com/icons/kdfc/apple-touch-icon-120x120.png,https://14093.live.streamtheworld.com/KDFCFM_SC
,,GD Radio,RADIO,http://gdradio.net/favicon.ico,https://ssl.rockhost.com/proxy/gdradiov2?mp=/stream
,,KVHS,RADIO,https://www.kvhs.com/favicon.ico,http://cast1.sql2.smrn.com:5561/live
,,DNA Radio,RADIO,https://www.dnalounge.com/favicon.ico,https://cerebrum.dnalounge.com:8002/radio
,,Rythm86,RADIO,https://rhythm86.com/favicon.ico,https://stream.rhythm86.net/stream/RHYTHM86
,,Rosa Scotia Radio,RADIO,https://cdn.onlineradiobox.com/img/l/5/93005.v2.png,https://onlineradiobox.com/json/us/rosascotia/play?platform=web
,,Zambuza,RADIO,https://chilltrax.com/favicon.ico,https://streamssl.chilltrax.com/chilltrax-128-mp3
,,RetroStrange Radio2,RADIO,https://retrostrange.com/wp-content/uploads/2021/01/cropped-RS-MINI-ALT-192x192.png,https://icecast.retrostrange.com:8443/retrostrange-radio2-mp3
,,RetroStrange Radio1,RADIO,https://retrostrange.com/wp-content/uploads/2021/01/cropped-RS-MINI-ALT-192x192.png,https://icecast.retrostrange.com:8443/retrostrange-radio1-mp3
,,Free FM 80s San Francisco,RADIO,https://lh5.googleusercontent.com/h_uHjSxZZ4iir8iw8zBcv84t38DX33BPd0x1cG0RKw1wbWAwGwImnUhtfFepUDc_T_SLbuAdiLOSaageDeGoOnKyAEQxzPY9cH2neNhvxjIFAvnbzjs3E_zrw0xasWgj=w1280,https://freefm80.radioca.st/
,,Psyched Radio. San Francisco.,RADIO,https://www.psychedradiosf.com/wp-content/uploads/2022/12/psyched_logo_white-300x132.png,https://us3.internet-radio.com/proxy/psychedradiosf/stream/
,,Islamic Bulletin from San Francisco Inspirational Islamic Lectures,RADIO,http://104.7.66.64:8006/;?icy=http/favicon.ico,http://104.7.66.64:8006/;?icy=http
,,SomaFM Xmas in Frisco (32k AAC),RADIO,https://somafm.com/img3/xmasinfrisko-400.jpg,https://ice6.somafm.com/xmasinfrisko-32-aac
,,KXSF,RADIO,http://www.kxsf.fm/favicon.ico,http://stream.kxsf.fm:8000/kxsf
,,SomaFM Xmas in Frisco (64k AAC),RADIO,https://somafm.com/img3/xmasinfrisko-400.jpg,https://ice5.somafm.com/xmasinfrisko-64-aac
